UID,Name,Position,Gls,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Dec,Det,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,L Th,Mar,Pas,Pen,Tck,Tec,Aer,Cmd,Com,Ecc,Han,Kic,1v1,Pun,Ref,TRO,Thr,Amb,Cons,Cont,Dirt,Imp M,Inj Pr,Prof,Spor,Vers,Temp,Rec,Inf
2000153846,Olarewaju Rahman,ST (C),14,14,11,5,13,7,13,8,10,12,12,9,8,9,8,13,13,11,14,9,7,9,9,8,6,12,14,10,8,13,5,4,7,9,4,4,10,3,1,2,2,3,4,2,1,1,3,3,9,19,5,8,5,10,12,11,15,19,- -  -,
2000148668,Ariel Herrero,ST (C),1,10,14,15,9,14,14,8,8,15,9,7,10,9,14,6,8,10,10,8,8,7,13,8,4,10,10,15,8,10,7,1,6,9,3,3,10,1,1,2,2,2,1,2,3,2,1,1,9,16,2,6,9,7,11,11,13,14,- -  -,
2000148534,Mario Fuente,ST (C),5,14,15,15,8,14,14,9,5,9,9,5,11,4,10,16,14,6,10,7,8,8,13,8,6,9,15,14,7,10,6,2,6,11,7,6,9,2,3,3,1,1,1,1,2,1,1,3,11,8,7,6,11,9,12,11,11,17,- -  -,
2000147405,Mostafa Fawzy,ST (C),11,10,10,8,12,11,10,5,7,15,15,12,6,9,15,14,8,9,11,5,8,9,9,8,7,10,10,11,8,15,9,8,8,9,5,4,10,2,4,1,1,2,3,1,2,1,1,1,10,10,8,7,7,6,11,6,13,16,- -  -,
2000145345,Cornelius Juma,ST (C),9,13,12,7,7,6,13,7,12,13,8,5,12,7,7,3,14,4,13,6,6,3,7,6,3,12,13,12,6,12,7,1,5,7,8,1,8,2,2,1,2,3,1,2,2,2,1,1,12,10,8,8,9,6,11,10,14,11,- -  -,
2000144609,Naim Hamdi,ST (C),7,14,13,7,8,8,12,13,9,13,12,4,6,8,9,12,9,10,14,5,6,8,8,6,3,8,14,10,6,11,7,7,5,5,3,2,9,1,3,2,1,1,1,1,2,2,2,3,8,12,1,8,14,5,12,12,11,19,- -  -,
2000142678,Hussein Al-Shehri,ST (C),6,12,9,7,3,12,10,13,9,13,13,8,10,7,11,8,14,12,13,6,6,3,7,2,3,9,13,13,5,10,5,1,5,7,4,3,13,1,1,3,2,3,3,1,1,1,2,2,14,9,2,6,2,11,10,11,9,13,- -  -,
2000142481,Mohammed Blash,ST (C),4,12,9,7,8,14,10,6,7,5,9,6,8,4,12,16,10,5,13,5,6,6,7,6,6,13,13,13,6,13,7,1,6,7,7,1,10,4,3,3,2,1,1,1,2,1,3,1,11,18,3,11,11,12,13,4,13,11,- -  -,
2000141857,Mohamed Askri,ST (C),4,13,13,8,12,15,12,4,7,12,8,2,12,5,9,13,11,6,11,5,6,6,7,6,6,12,13,9,6,13,7,3,3,7,4,1,11,2,3,3,3,3,2,2,2,3,3,4,9,11,5,14,8,12,12,9,12,17,- -  -,
2000140540,Ibrahim Joshua,ST (C),5,13,13,8,3,15,13,12,4,5,13,6,9,7,11,9,13,10,13,7,7,7,12,6,3,13,13,13,6,8,7,1,3,7,8,1,13,3,3,2,3,4,2,1,2,1,3,1,13,13,4,6,9,6,11,12,11,20,- -  -,
2000137711,Ricky Banda,ST (C),14,13,12,5,12,13,12,7,13,9,11,8,7,7,13,17,13,8,13,8,6,9,8,7,3,11,14,14,7,12,10,2,6,8,3,1,13,1,1,1,2,3,1,3,2,1,3,4,12,11,8,5,8,11,10,12,10,19,- -  -,
2000131705,Abdelrahman Atef,ST (C),2,13,9,8,13,8,11,7,6,12,9,3,13,3,11,7,13,7,13,7,6,2,7,3,4,12,13,13,6,10,6,5,6,4,10,3,13,4,3,2,1,3,1,3,4,3,3,3,9,10,6,7,13,9,8,8,9,10,- -  -,
2000126747,Romaric Etonde,ST (C),10,15,12,5,4,10,14,6,7,12,12,8,10,5,11,6,13,6,10,5,5,6,4,4,3,12,13,12,3,8,5,2,3,5,6,1,13,1,3,2,3,1,3,1,1,1,1,1,11,14,7,11,7,10,12,9,7,10,- -  -,Yth
2000126546,Avelino Sánchez,ST (C),3,11,9,4,9,17,9,7,7,12,11,6,9,3,10,16,9,11,14,6,7,7,8,3,3,14,14,11,7,12,8,5,4,4,8,2,11,3,3,2,1,2,3,3,3,3,3,2,11,12,6,15,2,9,10,10,11,17,- -  -,
2000126406,Clarence Kegongo,ST (C),8,13,11,8,11,16,11,8,8,10,12,3,6,7,8,13,12,10,13,5,6,5,5,6,3,13,13,14,7,13,7,5,3,6,2,1,12,1,1,2,1,2,2,3,2,3,1,2,10,8,2,5,12,15,10,11,8,17,- -  -,Loa
2000125177,Enzo Pinochi,ST (C),3,12,12,5,6,15,12,11,9,10,8,6,9,6,8,9,9,14,12,6,5,5,6,5,5,12,12,11,5,10,5,2,3,6,3,5,9,3,1,1,2,1,3,3,2,1,3,1,10,14,7,10,15,7,11,11,12,15,- -  -,Lst
2000123103,Luis Herminio Pérez,ST (C),1,13,13,7,11,15,13,12,5,10,7,6,12,7,11,8,8,13,12,7,6,7,7,6,6,11,13,9,3,13,3,4,5,7,4,1,8,3,1,1,2,2,2,1,3,1,2,3,10,9,5,11,3,12,11,2,10,15,- -  -,
2000120115,Babacar N'Diaye,ST (C),14,13,13,7,10,13,13,7,11,14,9,8,10,7,11,8,12,13,13,7,6,6,7,6,3,11,11,11,3,13,7,5,6,7,5,2,7,1,2,3,4,2,2,2,3,3,2,1,10,20,8,12,5,5,11,11,12,12,- -  -,
2000120063,Scott Williamson,ST (C),2,9,9,11,12,12,10,10,12,9,12,13,11,10,10,7,12,7,12,10,13,12,14,11,10,11,12,12,11,9,12,6,9,10,10,9,11,1,1,1,1,4,3,1,1,2,1,1,13,12,6,8,10,5,13,11,11,19,- -  -,
2000118807,Oufa,ST (C),3,13,13,8,7,16,13,13,13,15,9,6,9,8,8,11,11,9,13,8,7,6,8,7,8,13,12,13,7,13,6,1,7,4,8,5,11,1,1,3,3,2,1,2,1,3,2,2,10,14,1,9,8,14,11,3,11,11,- -  -,
2000118304,Luizão,ST (C),6,12,12,11,12,12,12,10,12,12,12,13,12,10,11,8,8,2,12,7,11,11,12,6,8,10,12,10,9,12,10,7,6,10,9,7,11,3,1,2,1,2,4,2,1,3,1,2,13,11,8,12,8,7,11,12,11,11,- -  -,Loa
2000117268,Djibril Mbow,ST (C),6,13,13,13,11,12,13,12,9,5,10,9,7,8,10,7,12,14,13,8,7,5,12,1,6,9,13,13,5,9,8,2,7,11,5,3,12,1,2,2,3,2,4,2,2,3,1,3,12,12,2,6,13,10,11,11,11,20,- -  -,
2000111199,Ivan Cabrel,ST (C),4,12,9,2,9,16,10,6,6,6,11,4,8,5,12,6,11,1,13,5,4,5,1,2,4,13,13,12,2,13,5,1,4,6,3,1,10,1,4,2,4,1,2,3,1,3,3,2,11,20,4,13,5,10,12,11,10,20,- -  -,
2000108591,Nécime Bounouar,ST (C),5,13,12,6,3,9,12,12,10,6,13,8,8,7,10,17,11,12,10,7,6,7,8,6,2,12,13,13,3,11,7,1,4,7,5,1,12,2,2,1,1,2,1,2,1,1,3,1,10,13,2,6,16,13,9,9,14,12,- -  -,
2000106494,Kais Fdhil,ST (C),7,14,14,8,3,12,14,8,6,9,11,7,12,5,15,17,13,11,13,7,7,7,9,6,5,14,14,14,6,13,7,6,5,7,5,5,12,1,1,1,2,3,1,1,4,3,3,1,12,13,6,11,4,9,12,4,12,11,- -  -,
2000099455,Tolu Oluwole,ST (C),8,14,12,8,11,11,14,6,7,14,10,6,8,8,10,16,14,12,14,8,7,4,8,7,5,9,14,14,7,14,8,1,6,6,5,2,9,1,3,3,2,3,3,3,2,3,4,2,11,12,4,8,14,7,10,10,10,15,- -  -,
2000098388,Basiru Musa,ST (C),3,13,10,8,7,13,12,6,5,15,8,8,11,9,12,11,12,14,8,5,7,7,8,3,6,12,13,13,5,10,7,5,5,7,3,6,12,2,1,3,2,1,1,2,2,1,3,1,13,8,8,7,10,5,13,9,8,18,- -  -,
2000097398,Roche Foning Tazon,ST (C),18,14,10,14,10,15,14,7,4,7,12,2,9,3,13,4,9,12,11,7,7,7,12,7,3,14,12,13,7,9,8,2,5,6,4,5,10,3,3,1,1,2,4,2,1,3,1,2,10,9,8,15,3,9,11,12,11,17,- -  -,
2000088334,Allen Mabuza,ST (C),17,12,12,5,9,12,12,8,8,5,12,3,9,6,9,6,11,11,11,6,5,5,6,5,5,12,12,11,1,7,6,1,5,6,2,2,7,1,1,2,3,4,3,1,2,3,3,2,13,17,4,13,6,11,12,12,10,13,- -  -,
2000084848,Benjamin Okoronkwo,ST (C),15,13,13,7,5,6,13,5,6,15,8,7,14,6,11,8,9,11,13,7,6,7,7,2,4,12,14,11,2,13,3,3,5,7,9,1,10,3,3,3,2,1,2,1,3,3,1,2,8,19,5,5,5,11,13,11,13,17,- -  -,
2000083855,Mustafa Hassan,ST (C),3,13,13,3,3,14,13,13,11,10,10,7,9,7,13,14,7,14,9,7,6,7,8,5,2,9,12,12,6,13,5,1,6,6,4,1,8,3,4,2,2,3,1,1,3,4,1,2,14,10,8,9,5,8,12,12,9,13,- -  -,
2000082104,Mohamed Boutouala,ST (C),8,13,12,8,3,11,12,11,5,9,12,4,8,6,12,12,11,13,12,6,5,7,7,6,4,12,13,13,5,13,6,1,3,5,7,1,10,3,1,3,1,1,3,4,1,2,3,1,11,13,1,7,11,8,11,8,12,18,- -  -,
2000081515,Ahmed Nadhir Benbouali,ST (C),3,12,11,13,14,10,13,12,11,11,12,13,12,11,13,3,11,13,14,10,10,12,11,6,7,11,12,12,10,12,10,1,10,11,10,6,12,2,1,1,1,3,1,1,3,3,2,3,15,12,3,13,1,5,10,3,14,17,- -  -,
2000081076,Hendrik Mittelstädt,ST (C),8,14,14,4,9,11,14,5,6,5,14,3,12,7,10,13,10,12,13,8,7,6,8,6,3,14,12,14,5,11,8,5,7,6,7,2,11,1,3,2,2,3,1,4,2,1,2,1,10,12,7,12,11,5,9,10,11,15,- -  -,Ask
2000078020,Mohammad Jamal,ST (C),6,8,12,7,5,6,9,8,7,7,13,4,11,8,12,17,15,10,14,8,5,8,8,7,2,11,14,11,7,11,5,1,5,6,7,3,12,1,2,1,3,2,2,1,1,3,1,1,13,20,4,10,2,10,10,13,9,14,- -  -,Inj
2000076490,Abdoulkader Djibo,ST (C),10,12,9,6,2,13,11,10,7,7,10,1,12,5,12,11,10,12,11,6,5,4,6,5,4,11,12,12,5,12,6,1,5,4,4,1,9,4,3,1,3,1,3,2,3,2,3,3,12,16,1,12,8,9,9,11,12,13,- -  -,
2000074825,Youssoufa Moukoko,ST (C),1,16,16,13,8,15,16,12,12,13,12,11,15,11,9,13,16,6,10,7,10,10,13,11,8,16,17,14,11,6,11,10,6,11,8,5,17,1,1,1,2,4,2,3,1,1,3,1,18,8,4,11,15,12,16,15,12,13,- -  -,
2000074309,Bacounta Sarr,ST (C),6,13,13,7,5,15,13,8,7,8,11,5,9,7,8,10,13,4,12,7,6,7,7,6,4,13,13,9,6,12,5,1,6,7,7,5,8,2,3,1,2,3,1,1,3,2,2,2,9,10,5,10,10,10,8,13,13,10,- -  -,
2000073244,Simon Mulenga,ST (C),8,13,13,7,10,12,13,6,8,13,11,8,11,7,10,15,13,10,13,7,6,5,7,6,2,12,13,13,6,13,7,1,6,7,4,4,13,2,1,2,1,3,3,1,2,2,4,2,11,10,5,11,7,6,12,12,9,12,- -  -,
2000071444,Phil Harres,ST (C),17,14,11,8,15,10,13,10,8,5,11,4,9,8,12,15,12,7,14,4,7,8,8,4,6,13,13,13,7,13,9,1,4,9,5,4,12,2,1,2,1,4,3,1,1,1,3,1,10,13,8,9,15,11,12,11,13,10,- -  -,
2000068266,Omar Bassam,ST (C),8,6,9,15,12,12,7,9,12,15,12,9,9,8,14,8,12,6,10,9,8,5,9,8,5,10,10,14,8,15,7,4,6,9,6,2,9,2,3,3,2,1,1,1,3,2,3,2,12,10,6,6,11,6,12,8,12,13,- -  -,
2000064906,Adriano,ST (C),6,11,12,10,8,11,11,12,10,11,12,13,11,9,10,12,7,8,12,6,11,10,11,6,8,10,11,10,9,10,10,7,6,10,9,7,10,1,4,3,1,3,1,1,3,2,3,3,11,13,6,14,9,6,12,7,12,11,- -  -,
2000064572,Sultan Adil,ST (C),2,13,13,8,6,17,13,9,7,12,7,4,11,5,6,1,12,5,13,4,6,6,7,5,6,14,13,13,6,13,6,2,4,7,2,1,11,2,1,1,2,2,3,1,3,1,1,2,11,10,3,8,14,11,11,12,8,19,- -  -,Loa
2000062805,Anthony Tamuru,ST (C),2,12,9,1,7,14,9,9,2,9,9,5,5,4,9,5,11,2,11,4,3,1,4,3,1,5,11,11,3,9,1,1,1,4,1,1,6,2,1,2,3,1,3,4,1,2,2,2,10,14,4,15,8,11,9,9,10,14,- -  -,Ama
2000057132,Michou Naror,ST (C),1,11,8,5,1,5,8,7,7,6,5,6,10,5,8,13,8,12,10,5,4,5,5,4,2,5,13,10,3,9,1,1,3,2,4,1,8,4,2,3,3,2,3,4,1,3,3,1,9,10,5,8,1,5,11,12,12,14,- -  -,Ama
2000056905,Slavy,ST (C),8,11,6,15,12,17,8,12,10,15,12,10,11,9,11,18,9,6,7,9,8,10,10,8,9,10,11,15,8,16,11,5,8,10,6,3,12,2,1,1,2,1,1,1,3,3,3,1,10,20,2,10,7,9,11,8,12,17,- -  -,Opt
2000055807,Christian Martínez,ST (C),6,13,13,7,5,15,13,12,6,8,10,8,10,7,10,4,8,9,13,5,6,4,7,6,5,13,13,13,6,13,7,1,5,7,9,3,8,4,3,2,3,2,1,2,1,1,1,1,11,13,6,9,10,5,11,9,13,10,- -  -,
2000053256,Mehdi Çoba,ST (C),4,12,13,6,7,12,12,5,5,6,7,6,10,5,6,16,12,14,12,6,5,5,5,3,4,12,13,12,4,13,5,1,4,6,2,1,10,2,2,1,1,2,2,3,2,3,1,2,10,8,2,6,10,11,9,11,8,19,- -  -,
2000041274,Ardit Tahiri,ST (C),7,11,12,6,13,12,12,9,9,15,11,5,7,6,10,14,9,10,10,1,5,6,6,2,3,12,12,10,4,12,3,1,4,4,3,2,8,1,1,2,1,3,2,2,1,2,3,1,10,9,4,13,5,9,13,8,10,15,- -  -,
2000041190,Cadeem Rogers,ST (C),8,9,8,4,4,7,8,5,6,11,6,4,13,3,5,10,7,10,10,1,3,5,4,3,2,6,10,9,3,10,4,1,1,3,5,1,5,3,3,3,3,2,3,1,1,1,1,3,13,14,1,9,8,9,11,11,7,11,- -  -,Ama
2000039699,Nicolás Siri,ST (C),7,15,12,12,10,10,13,11,11,7,14,12,14,8,13,3,11,7,12,6,9,7,12,9,8,12,12,12,9,12,8,6,8,7,5,5,12,2,3,2,2,2,1,3,3,1,1,1,13,13,2,5,9,13,11,10,11,20,- -  -,
2000037239,Emeka Obioma,ST (C),6,13,14,5,8,17,14,10,6,7,9,1,7,7,11,11,10,4,11,6,7,8,6,7,6,14,14,14,7,14,7,7,7,8,4,3,11,2,1,1,3,3,1,1,3,4,2,2,11,11,4,14,10,9,14,11,12,18,- -  -,Inj
2000036583,Kenry Arsen,ST (C),8,6,8,4,3,15,6,4,1,8,8,3,12,6,12,13,11,4,15,5,6,3,7,4,2,14,14,13,6,11,7,1,6,7,6,6,9,2,4,1,2,3,1,4,2,2,3,2,10,9,4,5,7,5,13,10,8,16,- -  -,
2000032013,Adama Diakité,ST (C),3,13,12,6,10,10,12,7,4,5,9,5,8,3,13,6,15,6,12,5,6,6,7,6,3,10,14,10,3,13,5,2,5,5,7,2,9,2,3,3,3,2,2,2,3,2,1,3,8,12,5,8,7,12,10,13,11,19,- -  -,
2000027769,Maru Tearaitoa,ST (C),3,8,9,3,4,10,10,7,3,6,5,5,7,3,5,16,5,10,12,1,2,1,3,2,1,10,12,8,1,10,3,1,1,3,3,1,3,1,1,2,1,2,1,2,2,1,1,3,10,7,8,9,10,11,12,10,6,10,- -  -,Ama
2000026687,Mohamed Touré,ST (C),2,13,10,8,8,17,8,8,7,9,9,4,12,3,9,7,10,5,11,6,6,8,8,6,3,12,13,13,7,12,7,2,5,6,5,3,10,2,1,1,3,2,2,1,1,1,2,2,13,9,4,5,14,9,11,9,10,12,- -  -,
2000018923,Geiner Castillo,ST (C),4,13,8,2,5,13,10,6,6,13,9,3,7,5,8,6,13,1,13,6,4,1,5,4,1,9,7,11,4,10,5,1,4,5,1,2,9,2,3,3,2,4,1,1,2,1,3,1,9,8,3,9,8,10,9,7,10,14,- -  -,
2000018702,Srđan Hrstić,ST (C),10,11,11,12,12,8,11,11,11,8,12,10,13,12,13,13,13,10,13,9,10,11,12,10,9,12,12,14,8,12,11,3,9,9,5,4,13,1,2,2,1,4,1,2,2,1,3,3,11,14,6,12,13,11,11,12,9,11,- -  -,
2000007465,Wilinton Aponza,ST (C),9,12,11,11,14,13,12,15,13,13,11,9,12,10,10,8,6,6,15,10,13,10,12,7,9,8,13,12,8,15,12,4,6,10,9,10,9,2,1,3,1,3,2,1,1,2,3,1,10,11,5,4,11,4,10,11,7,11,- -  -,Inj
96032774,Łukasz Zwoliński,ST (C),9,11,12,15,13,16,11,14,16,7,14,12,12,11,13,10,12,13,14,9,13,8,14,5,7,9,13,12,5,13,9,6,8,9,5,5,9,2,4,1,3,1,1,1,3,3,1,3,10,10,5,8,7,10,12,11,9,13,- -  -,
95072510,Michael Omosanya,ST (C),5,13,12,8,10,15,12,6,7,6,10,7,8,8,7,5,14,3,14,8,7,8,8,7,3,14,15,13,7,12,6,5,6,8,4,5,10,4,3,3,1,3,2,1,3,1,2,3,12,20,3,8,7,15,10,9,13,17,- -  -,
95063326,Benjamin Runser,ST (C),11,14,13,8,9,6,14,14,9,6,10,8,8,8,8,4,11,11,12,8,7,8,9,4,4,10,14,11,1,8,8,4,6,3,4,3,12,2,3,1,1,4,3,3,3,1,2,3,12,11,3,6,14,8,10,12,12,16,- -  -,
